
---------- Begin Simulation Statistics ----------
simSeconds                                   1.354591                       # Number of seconds simulated (Second)
simTicks                                 1354591014378                       # Number of ticks simulated (Tick)
finalTick                                1354591014378                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    770.92                       # Real time elapsed on the host (Second)
hostTickRate                               1757119867                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8623384                       # Number of bytes of host memory used (Byte)
simInsts                                    130125013                       # Number of instructions simulated (Count)
simOps                                      233299667                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   168793                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     302627                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        101596867                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.780764                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.280797                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       331998002                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2469                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      303801205                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 964979                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             98700691                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         143706668                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 227                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           101593725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.990354                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.723120                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  29683170     29.22%     29.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11880015     11.69%     40.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9522086      9.37%     50.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9178404      9.03%     59.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8337241      8.21%     67.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6339476      6.24%     73.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12763618     12.56%     86.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7403966      7.29%     93.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6485749      6.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             101593725                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8970488     92.80%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.80% # attempts to use FU when none available (Count)
