
---------- Begin Simulation Statistics ----------
simSeconds                                   2.101493                       # Number of seconds simulated (Second)
simTicks                                 2101493434684                       # Number of ticks simulated (Tick)
finalTick                                2101493434684                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1070.60                       # Real time elapsed on the host (Second)
hostTickRate                               1962911313                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8661476                       # Number of bytes of host memory used (Byte)
simInsts                                    232620831                       # Number of instructions simulated (Count)
simOps                                      374786184                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   217281                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     350071                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        157615949                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.677566                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.475871                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       538250046                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   277621                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      485209710                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3249328                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            163741458                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         310443021                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13779                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           157600361                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.078735                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.692077                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  43762602     27.77%     27.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12921316      8.20%     35.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  19705922     12.50%     48.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15634949      9.92%     58.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15306416      9.71%     68.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11986717      7.61%     75.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15302831      9.71%     85.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10841396      6.88%     92.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  12138212      7.70%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             157600361                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9100469     67.87%     67.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    134      0.00%     67.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     67.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     67.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     67.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     67.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     67.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     67.87% # attempts to use FU when none available (Count)
