
---------- Begin Simulation Statistics ----------
simSeconds                                   1.424661                       # Number of seconds simulated (Second)
simTicks                                 1424660769257                       # Number of ticks simulated (Tick)
finalTick                                1424660769257                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    693.40                       # Real time elapsed on the host (Second)
hostTickRate                               2054591193                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8657096                       # Number of bytes of host memory used (Byte)
simInsts                                    146325112                       # Number of instructions simulated (Count)
simOps                                      256945173                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   211024                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     370556                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        106852230                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.730238                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.369416                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       335684745                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2172178                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      310978979                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 900370                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             80911739                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         143072079                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              824653                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           106840398                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.910687                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.735526                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  35354919     33.09%     33.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10620857      9.94%     43.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8223484      7.70%     50.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8630177      8.08%     58.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8710601      8.15%     66.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8002419      7.49%     74.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12618228     11.81%     86.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9980948      9.34%     95.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4698765      4.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             106840398                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8975463     84.75%     84.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.75% # attempts to use FU when none available (Count)
