
---------- Begin Simulation Statistics ----------
simSeconds                                   3.046915                       # Number of seconds simulated (Second)
simTicks                                 3046914665229                       # Number of ticks simulated (Tick)
finalTick                                3046914665229                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1296.37                       # Real time elapsed on the host (Second)
hostTickRate                               2350343709                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8655956                       # Number of bytes of host memory used (Byte)
simInsts                                    265600382                       # Number of instructions simulated (Count)
simOps                                      501612418                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   204880                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     386936                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        228524314                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.860407                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.162241                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       676241812                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3483                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      622877791                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3044397                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            174632866                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         305732377                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 435                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           227175487                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.741835                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.837136                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  92667644     40.79%     40.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  16971592      7.47%     48.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  13265817      5.84%     54.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14512984      6.39%     60.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12311292      5.42%     65.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  20332577      8.95%     74.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  27470501     12.09%     86.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  17040086      7.50%     94.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  12602994      5.55%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             227175487                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                18246410     84.25%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     84.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     84.25% # attempts to use FU when none available (Count)
