
---------- Begin Simulation Statistics ----------
simSeconds                                   3.367258                       # Number of seconds simulated (Second)
simTicks                                 3367257549790                       # Number of ticks simulated (Tick)
finalTick                                3367257549790                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1752.90                       # Real time elapsed on the host (Second)
hostTickRate                               1920961203                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8702160                       # Number of bytes of host memory used (Byte)
simInsts                                    337257638                       # Number of instructions simulated (Count)
simOps                                      644534789                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   192400                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     367696                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        252550631                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.748836                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.335406                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       814525215                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   144007                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      771804707                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1005395                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            170134422                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         215446034                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13719                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           252106442                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.061424                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.744257                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  77495589     30.74%     30.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  21629148      8.58%     39.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  22824375      9.05%     48.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  20430649      8.10%     56.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  22315865      8.85%     65.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  22735666      9.02%     74.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28292959     11.22%     85.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  20522210      8.14%     93.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  15859981      6.29%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             252106442                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                13761478     82.53%     82.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      3      0.00%     82.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     82.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                182003      1.09%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     83.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  59154      0.35%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    246      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    29      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   33      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     83.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd             26958      0.16%     84.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     84.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                29      0.00%     84.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                93      0.00%     84.15% # attempts to use FU when none available (Count)
