
---------- Begin Simulation Statistics ----------
simSeconds                                   1.072375                       # Number of seconds simulated (Second)
simTicks                                 1072374856625                       # Number of ticks simulated (Tick)
finalTick                                1072374856625                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    459.43                       # Real time elapsed on the host (Second)
hostTickRate                               2334121373                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8641232                       # Number of bytes of host memory used (Byte)
simInsts                                     67074356                       # Number of instructions simulated (Count)
simOps                                      163596487                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   145993                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     356083                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         80430126                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.199119                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.833946                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       244733275                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    55521                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      197939526                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 615323                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             81192289                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         238583464                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5871                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            80423136                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.461226                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.233290                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  17772706     22.10%     22.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17184513     21.37%     43.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  13017032     16.19%     59.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10020670     12.46%     72.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6351696      7.90%     80.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4352335      5.41%     85.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6307058      7.84%     93.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3688876      4.59%     97.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1728250      2.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              80423136                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3313278     92.55%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     92.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    301      0.01%     92.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     92.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    260      0.01%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    43      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   28      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     92.57% # attempts to use FU when none available (Count)
