
---------- Begin Simulation Statistics ----------
simSeconds                                   1.350938                       # Number of seconds simulated (Second)
simTicks                                 1350937799044                       # Number of ticks simulated (Tick)
finalTick                                1350937799044                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    677.47                       # Real time elapsed on the host (Second)
hostTickRate                               1994093346                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8635676                       # Number of bytes of host memory used (Byte)
simInsts                                    129812417                       # Number of instructions simulated (Count)
simOps                                      225745322                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   191614                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     333218                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        101322869                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.780533                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.281176                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       347243324                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2958                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      302622692                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1092969                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            121500887                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         226584425                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 323                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           101319145                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.986826                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.611261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  30966769     30.56%     30.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8267034      8.16%     38.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7925166      7.82%     46.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10691651     10.55%     57.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9452948      9.33%     66.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9059293      8.94%     75.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  14271477     14.09%     89.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7785202      7.68%     97.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2899605      2.86%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             101319145                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                11723861     99.70%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.70% # attempts to use FU when none available (Count)
