
---------- Begin Simulation Statistics ----------
simSeconds                                   1.035611                       # Number of seconds simulated (Second)
simTicks                                 1035611149074                       # Number of ticks simulated (Tick)
finalTick                                1035611149074                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    531.96                       # Real time elapsed on the host (Second)
hostTickRate                               1946786523                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8652472                       # Number of bytes of host memory used (Byte)
simInsts                                    117949912                       # Number of instructions simulated (Count)
simOps                                      186898500                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   221727                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     351340                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         77672779                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.658523                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.518549                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       262362288                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   125484                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      237264847                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1364724                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             75589261                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         147681587                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5391                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            77661852                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.055102                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.673637                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  21280997     27.40%     27.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6771168      8.72%     36.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9604692     12.37%     48.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8091175     10.42%     58.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7786950     10.03%     68.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6150986      7.92%     76.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6836923      8.80%     85.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5025186      6.47%     92.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6113775      7.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              77661852                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3425209     64.26%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     67      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      5      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    118      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     64.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    211      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    17      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   26      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     64.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     64.27% # attempts to use FU when none available (Count)
