
---------- Begin Simulation Statistics ----------
simSeconds                                   1.025730                       # Number of seconds simulated (Second)
simTicks                                 1025730076107                       # Number of ticks simulated (Tick)
finalTick                                1025730076107                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    641.46                       # Real time elapsed on the host (Second)
hostTickRate                               1599063725                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8643856                       # Number of bytes of host memory used (Byte)
simInsts                                    120597462                       # Number of instructions simulated (Count)
simOps                                      226411009                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188006                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     352964                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         76931680                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.637921                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.567592                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       323568132                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   152335                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      292930188                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1452736                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             97309415                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         163530071                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                3214                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            76925046                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.807995                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.932611                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19869877     25.83%     25.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5073527      6.60%     32.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4102540      5.33%     37.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5072189      6.59%     44.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6336350      8.24%     52.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7430620      9.66%     62.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9978216     12.97%     75.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10426598     13.55%     88.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8635129     11.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              76925046                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6595906     77.74%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      11      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     18      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    123      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     77.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    144      0.00%     77.75% # attempts to use FU when none available (Count)
