
---------- Begin Simulation Statistics ----------
simSeconds                                   1.619150                       # Number of seconds simulated (Second)
simTicks                                 1619149720245                       # Number of ticks simulated (Tick)
finalTick                                1619149720245                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    813.61                       # Real time elapsed on the host (Second)
hostTickRate                               1990071944                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8640796                       # Number of bytes of host memory used (Byte)
simInsts                                    216434620                       # Number of instructions simulated (Count)
simOps                                      353061077                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   266016                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     433942                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        121439266                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.561090                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.782246                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       454882272                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2937                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      424188751                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1018277                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            101824121                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         129600476                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 315                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           121219255                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.499351                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.891114                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  35982702     29.68%     29.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6134396      5.06%     34.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7934757      6.55%     41.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9320219      7.69%     48.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10950739      9.03%     58.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9991714      8.24%     66.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  17283272     14.26%     80.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12208622     10.07%     90.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11412834      9.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             121219255                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                12341503     93.12%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     93.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  28185      0.21%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    145      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    19      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   18      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     93.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd            537181      4.05%     97.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     97.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     97.39% # attempts to use FU when none available (Count)
