
---------- Begin Simulation Statistics ----------
simSeconds                                   2.334053                       # Number of seconds simulated (Second)
simTicks                                 2334052500562                       # Number of ticks simulated (Tick)
finalTick                                2334052500562                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1128.57                       # Real time elapsed on the host (Second)
hostTickRate                               2068154224                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8680752                       # Number of bytes of host memory used (Byte)
simInsts                                    196717243                       # Number of instructions simulated (Count)
simOps                                      349351720                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   174307                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     309553                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        175058315                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.889898                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.123724                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       499491729                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1415245                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      455479388                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 743756                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            151555222                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         216312050                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              374260                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           174724336                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.606846                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.743590                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  67161120     38.44%     38.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17327436      9.92%     48.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  14822078      8.48%     56.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  13476167      7.71%     64.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12717096      7.28%     71.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11168896      6.39%     78.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  16178528      9.26%     87.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10688857      6.12%     93.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11184158      6.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             174724336                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8250541     68.96%     68.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1060      0.01%     68.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     68.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 28436      0.24%     69.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     69.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     69.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     69.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     69.20% # attempts to use FU when none available (Count)
