
---------- Begin Simulation Statistics ----------
simSeconds                                   1.076904                       # Number of seconds simulated (Second)
simTicks                                 1076903970061                       # Number of ticks simulated (Tick)
finalTick                                1076903970061                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    435.21                       # Real time elapsed on the host (Second)
hostTickRate                               2474462795                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8659056                       # Number of bytes of host memory used (Byte)
simInsts                                    102260951                       # Number of instructions simulated (Count)
simOps                                      164748325                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   234971                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     378551                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         80769818                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.789840                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.266079                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       167687216                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    24504                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      166678495                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  49512                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2963377                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5337400                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2429                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            80762947                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.063799                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.010798                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  21968190     27.20%     27.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17457361     21.62%     48.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15831764     19.60%     68.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6431747      7.96%     76.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7576826      9.38%     85.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4484227      5.55%     91.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4122566      5.10%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2323598      2.88%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    566668      0.70%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              80762947                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  585380     64.29%     64.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     64.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     64.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     64.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     64.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     64.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     64.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     64.29% # attempts to use FU when none available (Count)
