
---------- Begin Simulation Statistics ----------
simSeconds                                   2.064741                       # Number of seconds simulated (Second)
simTicks                                 2064741060183                       # Number of ticks simulated (Tick)
finalTick                                2064741060183                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1088.43                       # Real time elapsed on the host (Second)
hostTickRate                               1896983016                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8662500                       # Number of bytes of host memory used (Byte)
simInsts                                    232620105                       # Number of instructions simulated (Count)
simOps                                      374784775                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   213720                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     344334                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        154859452                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.665718                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.502137                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       535162517                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   277781                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      482728441                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3266301                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            160655498                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         306102065                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13939                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           154842159                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.117552                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.689704                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  41850736     27.03%     27.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12538876      8.10%     35.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  19752447     12.76%     47.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15325688      9.90%     57.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15371662      9.93%     67.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11728052      7.57%     75.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15591426     10.07%     85.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10434033      6.74%     92.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  12249239      7.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             154842159                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8914744     68.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    135      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     19      0.00%     68.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     68.00% # attempts to use FU when none available (Count)
