
---------- Begin Simulation Statistics ----------
simSeconds                                   1.464153                       # Number of seconds simulated (Second)
simTicks                                 1464153008593                       # Number of ticks simulated (Tick)
finalTick                                1464153008593                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    851.25                       # Real time elapsed on the host (Second)
hostTickRate                               1719994814                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8636664                       # Number of bytes of host memory used (Byte)
simInsts                                    176456743                       # Number of instructions simulated (Count)
simOps                                      304341512                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   207290                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     357521                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        109814222                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.622329                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.606866                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       386366860                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1213690                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      360558986                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1278348                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             83239027                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         138521138                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               51374                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           109802175                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.283714                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.766183                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  30314487     27.61%     27.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9304210      8.47%     36.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9365369      8.53%     44.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9342697      8.51%     53.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10107308      9.21%     62.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  10060367      9.16%     71.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  13418875     12.22%     83.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9859266      8.98%     92.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8029596      7.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             109802175                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7975769     63.95%     63.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     63.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     63.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     63.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     63.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     63.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     63.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     63.95% # attempts to use FU when none available (Count)
