
---------- Begin Simulation Statistics ----------
simSeconds                                   1.410188                       # Number of seconds simulated (Second)
simTicks                                 1410188317744                       # Number of ticks simulated (Tick)
finalTick                                1410188317744                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    707.34                       # Real time elapsed on the host (Second)
hostTickRate                               1993663121                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8658124                       # Number of bytes of host memory used (Byte)
simInsts                                    146326022                       # Number of instructions simulated (Count)
simOps                                      256946839                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   206869                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     363260                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        105766769                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.722816                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.383478                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       334188396                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2171947                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      309726131                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 838067                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             79413493                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         142176616                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              824422                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           105754771                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.928720                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.735510                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  34799458     32.91%     32.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10405997      9.84%     42.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7763296      7.34%     50.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8939864      8.45%     58.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8725458      8.25%     66.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7832551      7.41%     74.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12811073     12.11%     86.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9773667      9.24%     95.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4703407      4.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             105754771                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8637670     84.29%     84.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     84.29% # attempts to use FU when none available (Count)
