
---------- Begin Simulation Statistics ----------
simSeconds                                   1.328598                       # Number of seconds simulated (Second)
simTicks                                 1328597624229                       # Number of ticks simulated (Tick)
finalTick                                1328597624229                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    770.76                       # Real time elapsed on the host (Second)
hostTickRate                               1723746086                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8636704                       # Number of bytes of host memory used (Byte)
simInsts                                    104355564                       # Number of instructions simulated (Count)
simOps                                      202811764                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   135393                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     263132                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         99647314                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.954883                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.047249                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       395028362                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2956                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      347800780                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                4549835                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            192219487                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         336294140                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 315                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            99643379                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.490455                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.075983                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  35982734     36.11%     36.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3930000      3.94%     40.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3475933      3.49%     43.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4551828      4.57%     48.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6120523      6.14%     54.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5955435      5.98%     60.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  17603412     17.67%     77.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12804421     12.85%     90.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9219093      9.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              99643379                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                18193722     97.81%     97.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     97.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.81% # attempts to use FU when none available (Count)
