
---------- Begin Simulation Statistics ----------
simSeconds                                   3.295248                       # Number of seconds simulated (Second)
simTicks                                 3295247950075                       # Number of ticks simulated (Tick)
finalTick                                3295247950075                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1808.24                       # Real time elapsed on the host (Second)
hostTickRate                               1822346555                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8703184                       # Number of bytes of host memory used (Byte)
simInsts                                    337201367                       # Number of instructions simulated (Count)
simOps                                      644442654                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   186480                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     356391                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        247149776                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.732944                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.364360                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       812829866                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   141585                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      770757968                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 925472                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            168528786                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         213069296                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13403                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           246675820                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.124579                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.741724                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73158606     29.66%     29.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  20700087      8.39%     38.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  22348224      9.06%     47.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  20937587      8.49%     55.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  22470777      9.11%     64.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  22172487      8.99%     73.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28438003     11.53%     85.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  20425281      8.28%     93.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  16024768      6.50%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             246675820                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                13827772     82.75%     82.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      3      0.00%     82.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     82.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                182444      1.09%     83.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     83.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     83.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     83.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     83.84% # attempts to use FU when none available (Count)
