
---------- Begin Simulation Statistics ----------
simSeconds                                   2.720820                       # Number of seconds simulated (Second)
simTicks                                 2720819604476                       # Number of ticks simulated (Tick)
finalTick                                2720819604476                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1521.94                       # Real time elapsed on the host (Second)
hostTickRate                               1787735371                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8673616                       # Number of bytes of host memory used (Byte)
simInsts                                    217366109                       # Number of instructions simulated (Count)
simOps                                      419313833                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   142822                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     275513                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        204066573                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.938815                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.065173                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       589067621                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  5482144                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      528892283                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1186685                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            175235919                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         345940571                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             2190669                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           203810192                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.595024                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.658419                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73386603     36.01%     36.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  24068903     11.81%     47.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  17335841      8.51%     56.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15076942      7.40%     63.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  18425046      9.04%     72.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  16274904      7.99%     80.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15966099      7.83%     88.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12157258      5.96%     94.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11118596      5.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             203810192                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7538127     49.13%     49.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      5      0.00%     49.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     49.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     49.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     49.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     49.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     49.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     49.13% # attempts to use FU when none available (Count)
