
---------- Begin Simulation Statistics ----------
simSeconds                                   1.057897                       # Number of seconds simulated (Second)
simTicks                                 1057896565258                       # Number of ticks simulated (Tick)
finalTick                                1057896565258                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    619.63                       # Real time elapsed on the host (Second)
hostTickRate                               1707297257                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8690960                       # Number of bytes of host memory used (Byte)
simInsts                                    142609581                       # Number of instructions simulated (Count)
simOps                                      256389422                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   230152                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     413777                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         79344227                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.556374                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.797353                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       275734925                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5063                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      271229165                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  61551                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             19350555                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          23148510                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1260                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            79223167                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.423609                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.665597                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  16610665     20.97%     20.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8840203     11.16%     32.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7604015      9.60%     41.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8615208     10.87%     52.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8030628     10.14%     62.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7506140      9.47%     72.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8120367     10.25%     82.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   8207634     10.36%     92.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5688307      7.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              79223167                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5967774     92.35%     92.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.35% # attempts to use FU when none available (Count)
