
---------- Begin Simulation Statistics ----------
simSeconds                                   1.381898                       # Number of seconds simulated (Second)
simTicks                                 1381898491674                       # Number of ticks simulated (Tick)
finalTick                                1381898491674                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    698.90                       # Real time elapsed on the host (Second)
hostTickRate                               1977255046                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8651628                       # Number of bytes of host memory used (Byte)
simInsts                                    147818266                       # Number of instructions simulated (Count)
simOps                                      258468792                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   211502                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     369824                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        103644979                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.701165                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.426198                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       335840424                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2081291                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      307119241                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 721921                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             79452912                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         151852615                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1112790                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           103639300                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.963347                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.665283                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  31146593     30.05%     30.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10722091     10.35%     40.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9318541      8.99%     49.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9473978      9.14%     58.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8721660      8.42%     66.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8383459      8.09%     75.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12402913     11.97%     87.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9643799      9.31%     96.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3826266      3.69%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             103639300                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9925720     91.19%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     13      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    127      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    191      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    31      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   38      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     91.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     91.19% # attempts to use FU when none available (Count)
