
---------- Begin Simulation Statistics ----------
simSeconds                                   1.112515                       # Number of seconds simulated (Second)
simTicks                                 1112514919765                       # Number of ticks simulated (Tick)
finalTick                                1112514919765                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    589.51                       # Real time elapsed on the host (Second)
hostTickRate                               1887187167                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8653496                       # Number of bytes of host memory used (Byte)
simInsts                                    129452232                       # Number of instructions simulated (Count)
simOps                                      205085879                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   219593                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     347892                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         83440706                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.644568                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.551428                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       287520026                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   137812                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      259633589                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1480958                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             82571948                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         163066540                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                6095                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            83426613                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.112119                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.677880                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  22222193     26.64%     26.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7016131      8.41%     35.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10526199     12.62%     47.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8587445     10.29%     57.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8484859     10.17%     68.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6652126      7.97%     76.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7633435      9.15%     85.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5631751      6.75%     92.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6672474      8.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              83426613                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3854691     67.48%     67.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     85      0.00%     67.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     67.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     67.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     67.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     67.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     67.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     67.48% # attempts to use FU when none available (Count)
