
---------- Begin Simulation Statistics ----------
simSeconds                                   1.046275                       # Number of seconds simulated (Second)
simTicks                                 1046274589148                       # Number of ticks simulated (Tick)
finalTick                                1046274589148                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    548.22                       # Real time elapsed on the host (Second)
hostTickRate                               1908478733                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8631608                       # Number of bytes of host memory used (Byte)
simInsts                                     96191062                       # Number of instructions simulated (Count)
simOps                                      152961043                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   175459                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     279012                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         78472557                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.815799                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.225792                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       250115284                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2639                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      217556968                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1919614                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             97156869                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         158696263                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 252                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            78453553                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.773067                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.590879                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  25729933     32.80%     32.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7899347     10.07%     42.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6802888      8.67%     51.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7092109      9.04%     60.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6670068      8.50%     69.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6896659      8.79%     77.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9988884     12.73%     90.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5310673      6.77%     97.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2062992      2.63%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              78453553                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7746444     98.84%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.84% # attempts to use FU when none available (Count)
