
---------- Begin Simulation Statistics ----------
simSeconds                                   1.364769                       # Number of seconds simulated (Second)
simTicks                                 1364769266582                       # Number of ticks simulated (Tick)
finalTick                                1364769266582                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    703.93                       # Real time elapsed on the host (Second)
hostTickRate                               1938793445                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8625436                       # Number of bytes of host memory used (Byte)
simInsts                                    115729594                       # Number of instructions simulated (Count)
simOps                                      208674087                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   164405                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     296442                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        102360255                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.884478                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.130611                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       292580896                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2555                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      273821404                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 915803                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             83909285                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         123185531                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 313                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           102351442                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.675306                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.681429                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  35229979     34.42%     34.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12173701     11.89%     46.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9152666      8.94%     55.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9142600      8.93%     64.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7871831      7.69%     71.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5741780      5.61%     77.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  11154983     10.90%     88.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6282767      6.14%     94.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5601135      5.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             102351442                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7478875     87.04%     87.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     87.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.04% # attempts to use FU when none available (Count)
