
---------- Begin Simulation Statistics ----------
simSeconds                                   8.648902                       # Number of seconds simulated (Second)
simTicks                                 8648902465366                       # Number of ticks simulated (Tick)
finalTick                                8648902465366                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4506.16                       # Real time elapsed on the host (Second)
hostTickRate                               1919352919                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8693404                       # Number of bytes of host memory used (Byte)
simInsts                                    721806441                       # Number of instructions simulated (Count)
simOps                                     1209869039                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160182                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     268493                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        648683903                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.898695                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.112724                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1806103476                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  8562988                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1649180912                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3115591                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            604797399                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         795183875                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             2191447                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           648167020                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.544376                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.684475                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 231559160     35.73%     35.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  86399707     13.33%     49.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  63439663      9.79%     58.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  53563696      8.26%     67.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  43198477      6.66%     73.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  39398369      6.08%     79.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  50697193      7.82%     87.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  38044160      5.87%     93.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  41866595      6.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             648167020                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                25671134     63.13%     63.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     63.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     63.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                336613      0.83%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     63.96% # attempts to use FU when none available (Count)
