
---------- Begin Simulation Statistics ----------
simSeconds                                   2.437441                       # Number of seconds simulated (Second)
simTicks                                 2437440542463                       # Number of ticks simulated (Tick)
finalTick                                2437440542463                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1264.74                       # Real time elapsed on the host (Second)
hostTickRate                               1927233051                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8682804                       # Number of bytes of host memory used (Byte)
simInsts                                    196718722                       # Number of instructions simulated (Count)
simOps                                      349354088                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   155541                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     276227                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        182812612                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.929310                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.076068                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       507503366                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1423572                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      461184509                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 624518                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            159572779                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         230901923                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              382518                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           182269795                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.530230                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.694398                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  69966705     38.39%     38.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  19292318     10.58%     48.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16826781      9.23%     58.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14484650      7.95%     66.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13205204      7.24%     73.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  10947780      6.01%     79.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  16212174      8.89%     88.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10721545      5.88%     94.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  10612638      5.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             182269795                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8520053     69.57%     69.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1104      0.01%     69.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     69.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 31344      0.26%     69.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     69.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     69.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     69.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     69.83% # attempts to use FU when none available (Count)
