
---------- Begin Simulation Statistics ----------
simSeconds                                   1.059087                       # Number of seconds simulated (Second)
simTicks                                 1059086908832                       # Number of ticks simulated (Tick)
finalTick                                1059086908832                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    520.85                       # Real time elapsed on the host (Second)
hostTickRate                               2033372427                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8629516                       # Number of bytes of host memory used (Byte)
simInsts                                    139370814                       # Number of instructions simulated (Count)
simOps                                      222234237                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   267582                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     426673                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         79433505                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.569944                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.754560                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       224773206                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2674                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      223958017                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  32028                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2541547                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4556158                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 347                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            79425133                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.819737                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.919218                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8567020     10.79%     10.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12763740     16.07%     26.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  18597536     23.42%     50.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  12399911     15.61%     65.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11480550     14.45%     80.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7386275      9.30%     89.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4327781      5.45%     95.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3239349      4.08%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    662971      0.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              79425133                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  852199     93.15%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     15      0.00%     93.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     93.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    139      0.02%     93.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     93.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    323      0.04%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    46      0.01%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   26      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     93.21% # attempts to use FU when none available (Count)
