
---------- Begin Simulation Statistics ----------
simSeconds                                   2.074841                       # Number of seconds simulated (Second)
simTicks                                 2074841141008                       # Number of ticks simulated (Tick)
finalTick                                2074841141008                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1089.88                       # Real time elapsed on the host (Second)
hostTickRate                               1903734904                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8663524                       # Number of bytes of host memory used (Byte)
simInsts                                    232620216                       # Number of instructions simulated (Count)
simOps                                      374784954                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   213437                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     343877                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        155616977                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.668974                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.494825                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       538063923                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   279736                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      484577986                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3238702                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            163558631                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         313046104                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               15894                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           155588378                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.114487                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.696499                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  42619265     27.39%     27.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12443629      8.00%     35.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  19443285     12.50%     47.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15305592      9.84%     57.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15261473      9.81%     67.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11910579      7.66%     75.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15734175     10.11%     85.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10635866      6.84%     92.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  12234514      7.86%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             155588378                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8767561     68.05%     68.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    142      0.00%     68.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     68.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     68.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     68.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     68.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     68.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     68.06% # attempts to use FU when none available (Count)
