
---------- Begin Simulation Statistics ----------
simSeconds                                   1.340827                       # Number of seconds simulated (Second)
simTicks                                 1340826985154                       # Number of ticks simulated (Tick)
finalTick                                1340826985154                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    806.74                       # Real time elapsed on the host (Second)
hostTickRate                               1662033802                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8637724                       # Number of bytes of host memory used (Byte)
simInsts                                     97073952                       # Number of instructions simulated (Count)
simOps                                      188603284                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120329                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     233785                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        100564539                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.035958                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.965290                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       363981170                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3094                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      327019775                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                4010555                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            175380913                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         299580358                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 453                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           100555493                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.252132                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.006747                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  37816102     37.61%     37.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4703040      4.68%     42.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4154996      4.13%     46.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5328048      5.30%     51.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6640842      6.60%     58.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6582905      6.55%     64.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  16384787     16.29%     81.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  11322200     11.26%     92.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7622573      7.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             100555493                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                15793233     94.23%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      5      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    134      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    323      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    31      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   37      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     94.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     94.23% # attempts to use FU when none available (Count)
