
---------- Begin Simulation Statistics ----------
simSeconds                                   2.917519                       # Number of seconds simulated (Second)
simTicks                                 2917518553546                       # Number of ticks simulated (Tick)
finalTick                                2917518553546                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1518.22                       # Real time elapsed on the host (Second)
hostTickRate                               1921674003                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8688732                       # Number of bytes of host memory used (Byte)
simInsts                                    282242595                       # Number of instructions simulated (Count)
simOps                                      526707911                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   185904                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     346925                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        218819363                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.775288                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.289843                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       686317127                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1091813                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      628317373                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3159501                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            160701018                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         327879418                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              463251                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           218397774                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.876940                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.815678                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  79809327     36.54%     36.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  18509502      8.48%     45.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15321402      7.02%     52.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15510029      7.10%     59.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15477967      7.09%     66.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  14330495      6.56%     72.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28165315     12.90%     85.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  20111149      9.21%     94.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11162588      5.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             218397774                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                20635549     85.45%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     20      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     85.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  65723      0.27%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    334      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    48      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     85.73% # attempts to use FU when none available (Count)
