
---------- Begin Simulation Statistics ----------
simSeconds                                   2.696300                       # Number of seconds simulated (Second)
simTicks                                 2696300457470                       # Number of ticks simulated (Tick)
finalTick                                2696300457470                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1402.12                       # Real time elapsed on the host (Second)
hostTickRate                               1923011089                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8660048                       # Number of bytes of host memory used (Byte)
simInsts                                    265600347                       # Number of instructions simulated (Count)
simOps                                      501612350                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189427                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     357752                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        202227591                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.761398                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.313373                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       671529643                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3778                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      619218725                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3200165                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            169921060                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         301360271                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 730                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           201669831                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.070458                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.867945                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  71602497     35.50%     35.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13702714      6.79%     42.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12829588      6.36%     48.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14193182      7.04%     55.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11943981      5.92%     61.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  18421686      9.13%     70.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28704078     14.23%     84.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  17008373      8.43%     93.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  13263732      6.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             201669831                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                19036731     82.82%     82.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     82.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     82.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     82.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     82.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     82.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     82.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     82.82% # attempts to use FU when none available (Count)
