
---------- Begin Simulation Statistics ----------
simSeconds                                   3.436763                       # Number of seconds simulated (Second)
simTicks                                 3436763492098                       # Number of ticks simulated (Tick)
finalTick                                3436763492098                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1976.89                       # Real time elapsed on the host (Second)
hostTickRate                               1738473415                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8705228                       # Number of bytes of host memory used (Byte)
simInsts                                    338362198                       # Number of instructions simulated (Count)
simOps                                      646347926                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   171159                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     326953                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        257763707                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.761798                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.312684                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       818519995                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   188103                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      776820611                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 871465                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            172360161                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         218636747                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               17378                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           257211229                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.020166                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.652055                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  72294190     28.11%     28.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  25656895      9.98%     38.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27691987     10.77%     48.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  23146327      9.00%     57.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  24972149      9.71%     67.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  21905219      8.52%     76.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  27933608     10.86%     86.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  19562410      7.61%     94.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14048444      5.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             257211229                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                13859680     81.51%     81.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      3      0.00%     81.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     81.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                181174      1.07%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      9      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     82.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  71346      0.42%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    336      0.00%     83.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    36      0.00%     83.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     83.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     83.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     83.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   45      0.00%     83.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     83.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     83.00% # attempts to use FU when none available (Count)
