
---------- Begin Simulation Statistics ----------
simSeconds                                   1.075590                       # Number of seconds simulated (Second)
simTicks                                 1075589949579                       # Number of ticks simulated (Tick)
finalTick                                1075589949579                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    472.57                       # Real time elapsed on the host (Second)
hostTickRate                               2276044044                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8642256                       # Number of bytes of host memory used (Byte)
simInsts                                     65554928                       # Number of instructions simulated (Count)
simOps                                      159265156                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   138720                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     337019                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         80671264                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.230590                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.812618                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       237941647                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    72516                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      192647443                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 574821                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             78748987                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         231166212                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                6327                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            80659771                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.388396                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.184488                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  18538157     22.98%     22.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17659608     21.89%     44.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12779316     15.84%     60.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9662075     11.98%     72.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6218146      7.71%     80.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4517852      5.60%     86.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7037532      8.72%     94.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3220738      3.99%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1026347      1.27%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              80659771                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2901508     90.73%     90.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     90.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.73% # attempts to use FU when none available (Count)
