
---------- Begin Simulation Statistics ----------
simSeconds                                   1.411505                       # Number of seconds simulated (Second)
simTicks                                 1411504818164                       # Number of ticks simulated (Tick)
finalTick                                1411504818164                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    721.99                       # Real time elapsed on the host (Second)
hostTickRate                               1955026825                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8652652                       # Number of bytes of host memory used (Byte)
simInsts                                    139236768                       # Number of instructions simulated (Count)
simOps                                      244621656                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   192852                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     338817                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        105865509                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.760327                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.315223                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       318511325                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1893838                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      290961066                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 682723                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             75783496                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         145184951                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1025465                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           105854677                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.748684                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.615567                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  33853924     31.98%     31.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12514291     11.82%     43.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9827951      9.28%     53.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10041933      9.49%     62.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8432221      7.97%     70.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7656935      7.23%     77.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  11576332     10.94%     88.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   8415197      7.95%     96.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3535893      3.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             105854677                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9441432     91.51%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     91.51% # attempts to use FU when none available (Count)
