
---------- Begin Simulation Statistics ----------
simSeconds                                   1.343807                       # Number of seconds simulated (Second)
simTicks                                 1343807350643                       # Number of ticks simulated (Tick)
finalTick                                1343807350643                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    694.06                       # Real time elapsed on the host (Second)
hostTickRate                               1936151988                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8637724                       # Number of bytes of host memory used (Byte)
simInsts                                    118860813                       # Number of instructions simulated (Count)
simOps                                      208426414                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   171254                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     300300                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        100788072                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.847950                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.179314                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       318248872                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3077                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      278387418                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1026159                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            109825462                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         203861331                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 442                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           100779591                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.762339                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.551838                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  32137462     31.89%     31.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10161574     10.08%     41.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8917108      8.85%     50.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11015749     10.93%     61.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8817572      8.75%     70.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7976557      7.91%     78.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12564110     12.47%     90.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6709024      6.66%     97.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2480435      2.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             100779591                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                10409121     99.67%     99.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.67% # attempts to use FU when none available (Count)
