
---------- Begin Simulation Statistics ----------
simSeconds                                   1.024223                       # Number of seconds simulated (Second)
simTicks                                 1024222967119                       # Number of ticks simulated (Tick)
finalTick                                1024222967119                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    530.49                       # Real time elapsed on the host (Second)
hostTickRate                               1930716634                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8680736                       # Number of bytes of host memory used (Byte)
simInsts                                     80695019                       # Number of instructions simulated (Count)
simOps                                      179024420                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   152115                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     337471                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         76818644                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.951963                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.050461                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       237040987                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6428                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      209576908                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 218657                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             58022912                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         133402641                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2198                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            76346719                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.745068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.643147                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  26321929     34.48%     34.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7174870      9.40%     43.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5632411      7.38%     51.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6040954      7.91%     59.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11065768     14.49%     73.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5056876      6.62%     80.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6073268      7.95%     88.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4817850      6.31%     94.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4162793      5.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              76346719                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4091521     86.69%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     20      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     86.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  47936      1.02%     87.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     81      0.00%     87.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                   2146      0.05%     87.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  2252      0.05%     87.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     87.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     87.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     87.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                  411      0.01%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     87.81% # attempts to use FU when none available (Count)
