
---------- Begin Simulation Statistics ----------
simSeconds                                   1.317664                       # Number of seconds simulated (Second)
simTicks                                 1317664470898                       # Number of ticks simulated (Tick)
finalTick                                1317664470898                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    682.26                       # Real time elapsed on the host (Second)
hostTickRate                               1931329973                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8635672                       # Number of bytes of host memory used (Byte)
simInsts                                    180197740                       # Number of instructions simulated (Count)
simOps                                      285432182                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   264120                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     418364                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         98827307                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.548438                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.823360                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       383978373                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2937                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      355248644                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 708931                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             98549117                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         119701045                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 315                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            98725981                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.598330                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.870378                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  27299427     27.65%     27.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4730705      4.79%     32.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7082198      7.17%     39.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8347810      8.46%     48.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8483629      8.59%     56.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9381897      9.50%     66.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  13331283     13.50%     79.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10073842     10.20%     89.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9995190     10.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              98725981                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8947159     91.03%     91.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.03% # attempts to use FU when none available (Count)
