
---------- Begin Simulation Statistics ----------
simSeconds                                   1.591222                       # Number of seconds simulated (Second)
simTicks                                 1591222031788                       # Number of ticks simulated (Tick)
finalTick                                1591222031788                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    717.41                       # Real time elapsed on the host (Second)
hostTickRate                               2218011207                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8675632                       # Number of bytes of host memory used (Byte)
simInsts                                    125241003                       # Number of instructions simulated (Count)
simOps                                      218636536                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   174574                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     304758                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        119344637                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.952920                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.049406                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       326062353                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1044170                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      292915745                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 407649                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            108469955                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         161492744                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              277574                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           119148676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.458405                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.682937                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  48024030     40.31%     40.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12131945     10.18%     50.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9981689      8.38%     58.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9435738      7.92%     66.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8529768      7.16%     73.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7808166      6.55%     80.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10043344      8.43%     88.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6458726      5.42%     94.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6735270      5.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             119148676                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4603686     65.23%     65.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    718      0.01%     65.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     65.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 19010      0.27%     65.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     65.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     65.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     65.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     65.51% # attempts to use FU when none available (Count)
