
---------- Begin Simulation Statistics ----------
simSeconds                                   1.147308                       # Number of seconds simulated (Second)
simTicks                                 1147307916585                       # Number of ticks simulated (Tick)
finalTick                                1147307916585                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    625.78                       # Real time elapsed on the host (Second)
hostTickRate                               1833391716                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8633628                       # Number of bytes of host memory used (Byte)
simInsts                                     76123992                       # Number of instructions simulated (Count)
simOps                                      147786040                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   121646                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     236161                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         86050246                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.130396                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.884646                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       321140192                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2952                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      275756084                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2907699                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            173357037                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         310423358                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 311                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            86046004                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.204752                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.058183                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  33805184     39.29%     39.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4269275      4.96%     44.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3377897      3.93%     48.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3569684      4.15%     52.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5759132      6.69%     59.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5101845      5.93%     64.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12928801     15.03%     79.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9970084     11.59%     91.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7264102      8.44%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              86046004                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                12926494     97.50%     97.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     97.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.50% # attempts to use FU when none available (Count)
