
---------- Begin Simulation Statistics ----------
simSeconds                                   2.004767                       # Number of seconds simulated (Second)
simTicks                                 2004767119569                       # Number of ticks simulated (Tick)
finalTick                                2004767119569                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    890.91                       # Real time elapsed on the host (Second)
hostTickRate                               2250243016                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8671532                       # Number of bytes of host memory used (Byte)
simInsts                                    169182811                       # Number of instructions simulated (Count)
simOps                                      310149561                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189899                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     348126                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        150361294                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.888750                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.125175                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       430672180                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1121679                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      386485339                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1984142                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            121644287                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         247902270                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              433356                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           149691378                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.581881                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.757595                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  60623896     40.50%     40.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14241263      9.51%     50.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10130954      6.77%     56.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10472007      7.00%     63.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10592636      7.08%     70.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9640653      6.44%     77.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15101535     10.09%     87.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  11724344      7.83%     95.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7164090      4.79%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             149691378                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                10736922     78.99%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     1      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     17      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  32912      0.24%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    246      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    41      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   32      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt               707      0.01%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     79.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                1279038      9.41%     88.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite               1081245      7.95%     96.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead            244826      1.80%     98.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite           216128      1.59%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
