
---------- Begin Simulation Statistics ----------
simSeconds                                   2.455922                       # Number of seconds simulated (Second)
simTicks                                 2455922480403                       # Number of ticks simulated (Tick)
finalTick                                2455922480403                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1385.60                       # Real time elapsed on the host (Second)
hostTickRate                               1772464116                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8691916                       # Number of bytes of host memory used (Byte)
simInsts                                    273611411                       # Number of instructions simulated (Count)
simOps                                      487894453                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   197468                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     352118                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        184198792                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.673213                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.485414                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       639806435                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    34450                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      602768607                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 749005                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            151946421                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         185543742                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4706                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           183967673                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.276492                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.757715                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  49456713     26.88%     26.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15662800      8.51%     35.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  18007036      9.79%     45.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  16230461      8.82%     54.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  16777193      9.12%     63.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  16555096      9.00%     72.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20904750     11.36%     83.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  15901392      8.64%     92.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14472232      7.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             183967673                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9003127     78.78%     78.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     78.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                189124      1.65%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     80.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  39433      0.35%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    248      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    30      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   32      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd             28406      0.25%     81.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     81.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                24      0.00%     81.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                63      0.00%     81.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     81.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     81.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult            15911      0.14%     81.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     81.17% # attempts to use FU when none available (Count)
