
---------- Begin Simulation Statistics ----------
simSeconds                                   1.029733                       # Number of seconds simulated (Second)
simTicks                                 1029732882701                       # Number of ticks simulated (Tick)
finalTick                                1029732882701                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    651.02                       # Real time elapsed on the host (Second)
hostTickRate                               1581718900                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8644876                       # Number of bytes of host memory used (Byte)
simInsts                                    119047035                       # Number of instructions simulated (Count)
simOps                                      223095505                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   182862                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     342685                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         77231898                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.648751                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.541423                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       318630898                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   274896                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      288250673                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1381855                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             95810246                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         162018427                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5084                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            77222270                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.732740                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.941290                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20665420     26.76%     26.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5295735      6.86%     33.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4183586      5.42%     39.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5070490      6.57%     45.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6137425      7.95%     53.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7467601      9.67%     63.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9829765     12.73%     75.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10067983     13.04%     88.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8504265     11.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              77222270                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6220230     74.86%     74.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     74.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       1      0.00%     74.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     74.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     74.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     74.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     74.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     74.86% # attempts to use FU when none available (Count)
