
---------- Begin Simulation Statistics ----------
simSeconds                                   1.172306                       # Number of seconds simulated (Second)
simTicks                                 1172305598294                       # Number of ticks simulated (Tick)
finalTick                                1172305598294                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    577.55                       # Real time elapsed on the host (Second)
hostTickRate                               2029773862                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8624408                       # Number of bytes of host memory used (Byte)
simInsts                                     95198446                       # Number of instructions simulated (Count)
simOps                                      168062174                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   164830                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     290989                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         87925119                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.923598                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.082722                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       251993370                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2410                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      231725138                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 774440                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             83933591                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         119453447                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 197                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            87921400                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.635594                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.613486                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  28659404     32.60%     32.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11463045     13.04%     45.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9122851     10.38%     56.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8411104      9.57%     65.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6994780      7.96%     73.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4798324      5.46%     78.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8987847     10.22%     89.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4987103      5.67%     94.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4496942      5.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              87921400                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6073802     89.58%     89.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     89.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     89.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     89.58% # attempts to use FU when none available (Count)
