
---------- Begin Simulation Statistics ----------
simSeconds                                   4.296962                       # Number of seconds simulated (Second)
simTicks                                 4296961573275                       # Number of ticks simulated (Tick)
finalTick                                4296961573275                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2220.79                       # Real time elapsed on the host (Second)
hostTickRate                               1934883651                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8675920                       # Number of bytes of host memory used (Byte)
simInsts                                    387696678                       # Number of instructions simulated (Count)
simOps                                      647307124                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   174576                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     291477                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        322280176                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.831269                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.202980                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       961741669                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  4826234                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      877047988                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1524406                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            319260745                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         418559340                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1208541                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           322011354                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.723655                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.770199                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 111546983     34.64%     34.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  39441673     12.25%     46.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  28753802      8.93%     55.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  26180282      8.13%     63.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  22088263      6.86%     70.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  21356425      6.63%     77.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  27105197      8.42%     85.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  20518326      6.37%     92.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  25020403      7.77%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             322011354                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                12815945     60.33%     60.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     60.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     60.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                187109      0.88%     61.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     61.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     61.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     61.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     61.21% # attempts to use FU when none available (Count)
