
---------- Begin Simulation Statistics ----------
simSeconds                                   2.049187                       # Number of seconds simulated (Second)
simTicks                                 2049187409034                       # Number of ticks simulated (Tick)
finalTick                                2049187409034                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1059.50                       # Real time elapsed on the host (Second)
hostTickRate                               1934114917                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8659428                       # Number of bytes of host memory used (Byte)
simInsts                                    230521992                       # Number of instructions simulated (Count)
simOps                                      370307859                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   217577                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     349513                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        153692899                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.666717                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.499887                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       522710346                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   459030                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      473317989                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2841894                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            152861459                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         292497581                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               28667                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           153673451                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.080024                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.677339                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  42179795     27.45%     27.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12962936      8.44%     35.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  18486009     12.03%     47.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15785167     10.27%     58.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15535249     10.11%     68.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11796036      7.68%     75.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15666574     10.19%     86.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9186566      5.98%     92.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  12075119      7.86%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             153673451                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7802388     65.99%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     55      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     65.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     20      0.00%     65.99% # attempts to use FU when none available (Count)
