
---------- Begin Simulation Statistics ----------
simSeconds                                   1.252956                       # Number of seconds simulated (Second)
simTicks                                 1252955555328                       # Number of ticks simulated (Tick)
finalTick                                1252955555328                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    670.38                       # Real time elapsed on the host (Second)
hostTickRate                               1869010207                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8636668                       # Number of bytes of host memory used (Byte)
simInsts                                    131807171                       # Number of instructions simulated (Count)
simOps                                      225672020                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   196614                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     336631                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         93974017                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.712966                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.402592                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       293119414                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1467293                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      271111375                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1030737                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             68914676                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         120490249                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               69827                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            93959300                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.885413                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.709293                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  30146700     32.08%     32.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9620316     10.24%     42.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8481844      9.03%     51.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7714686      8.21%     59.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8254756      8.79%     68.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8087214      8.61%     76.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9203581      9.80%     86.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6894891      7.34%     94.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5555312      5.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              93959300                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4871284     51.59%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     51.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     51.59% # attempts to use FU when none available (Count)
