
---------- Begin Simulation Statistics ----------
simSeconds                                   1.990738                       # Number of seconds simulated (Second)
simTicks                                 1990737736979                       # Number of ticks simulated (Tick)
finalTick                                1990737736979                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    924.68                       # Real time elapsed on the host (Second)
hostTickRate                               2152904311                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8644896                       # Number of bytes of host memory used (Byte)
simInsts                                    175658536                       # Number of instructions simulated (Count)
simOps                                      326717958                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189968                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     353333                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        149309064                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.849996                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.176476                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       466344204                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3754                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      425063292                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2010026                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            139629989                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         237288572                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 495                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           148627949                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.859915                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.905225                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  59143209     39.79%     39.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10392181      6.99%     46.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8749917      5.89%     52.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9735602      6.55%     59.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8404502      5.65%     64.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  12877655      8.66%     73.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  16754378     11.27%     84.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  11132120      7.49%     92.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11438385      7.70%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             148627949                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9750574     73.42%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      3      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     73.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  32846      0.25%     73.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     73.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    170      0.00%     73.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    26      0.00%     73.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     73.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     73.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     73.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   22      0.00%     73.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     73.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     73.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     73.67% # attempts to use FU when none available (Count)
