
---------- Begin Simulation Statistics ----------
simSeconds                                   2.424717                       # Number of seconds simulated (Second)
simTicks                                 2424717073891                       # Number of ticks simulated (Tick)
finalTick                                2424717073891                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1176.36                       # Real time elapsed on the host (Second)
hostTickRate                               2061196096                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8666448                       # Number of bytes of host memory used (Byte)
simInsts                                    188276829                       # Number of instructions simulated (Count)
simOps                                      362326654                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160050                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     308006                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        181858328                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.965909                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.035294                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       527613085                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  5519100                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      468728401                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1122115                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            170805500                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         337496432                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             2190600                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           181712789                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.579501                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.647305                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  64755884     35.64%     35.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  22322866     12.28%     47.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15688236      8.63%     56.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  13946499      7.68%     64.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  16664285      9.17%     73.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  14739517      8.11%     81.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12842134      7.07%     88.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10244907      5.64%     94.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  10508461      5.78%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             181712789                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4719080     37.62%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     12      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     16      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     37.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  15033      0.12%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    201      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    45      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   28      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                32      0.00%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                45      0.00%     37.74% # attempts to use FU when none available (Count)
