
---------- Begin Simulation Statistics ----------
simSeconds                                   1.174435                       # Number of seconds simulated (Second)
simTicks                                 1174435211719                       # Number of ticks simulated (Tick)
finalTick                                1174435211719                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    563.17                       # Real time elapsed on the host (Second)
hostTickRate                               2085394115                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8648556                       # Number of bytes of host memory used (Byte)
simInsts                                    112545943                       # Number of instructions simulated (Count)
simOps                                      190528329                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   199843                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     338313                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         88084844                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.782657                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.277699                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       259669512                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1992097                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      233155475                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 157660                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             71133269                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         138579840                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1053196                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            88078643                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.647128                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.531654                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  28741931     32.63%     32.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9798581     11.12%     43.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8907522     10.11%     53.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8659258      9.83%     63.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7966595      9.04%     72.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7222513      8.20%     80.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8175332      9.28%     90.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6322149      7.18%     97.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2284762      2.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              88078643                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4891332     84.96%     84.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.96% # attempts to use FU when none available (Count)
