
---------- Begin Simulation Statistics ----------
simSeconds                                   1.025918                       # Number of seconds simulated (Second)
simTicks                                 1025917524754                       # Number of ticks simulated (Tick)
finalTick                                1025917524754                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    500.32                       # Real time elapsed on the host (Second)
hostTickRate                               2050511744                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8683808                       # Number of bytes of host memory used (Byte)
simInsts                                     84972377                       # Number of instructions simulated (Count)
simOps                                      187413283                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   169835                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     374584                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         76945739                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.905538                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.104316                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       244525173                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6773                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      216923537                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 225833                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             57118613                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         132652561                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2512                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            76709134                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.827871                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.670936                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  25891635     33.75%     33.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6999940      9.13%     42.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5393551      7.03%     49.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5850527      7.63%     57.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11351201     14.80%     72.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5073229      6.61%     78.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6562744      8.56%     87.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5252955      6.85%     94.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4333352      5.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              76709134                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4356422     87.20%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      3      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     87.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  50722      1.02%     88.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     88.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    340      0.01%     88.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  1658      0.03%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                  209      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     88.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     88.26% # attempts to use FU when none available (Count)
