
---------- Begin Simulation Statistics ----------
simSeconds                                   1.162868                       # Number of seconds simulated (Second)
simTicks                                 1162868194235                       # Number of ticks simulated (Tick)
finalTick                                1162868194235                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    565.56                       # Real time elapsed on the host (Second)
hostTickRate                               2056153608                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8625436                       # Number of bytes of host memory used (Byte)
simInsts                                     82593644                       # Number of instructions simulated (Count)
simOps                                      146497624                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   146040                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259033                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         87217296                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.055981                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.946987                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       217780637                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2496                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      202931055                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 628497                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             71285430                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         101467992                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 283                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            87208691                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.326959                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.538000                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  33009029     37.85%     37.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11732897     13.45%     51.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8541127      9.79%     61.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7981776      9.15%     70.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6341869      7.27%     77.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4164296      4.78%     82.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7719122      8.85%     91.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4081712      4.68%     95.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3636863      4.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              87208691                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4849304     84.34%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      3      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    147      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     84.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    301      0.01%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    37      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   44      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     84.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     84.35% # attempts to use FU when none available (Count)
