
---------- Begin Simulation Statistics ----------
simSeconds                                   1.650707                       # Number of seconds simulated (Second)
simTicks                                 1650706691301                       # Number of ticks simulated (Tick)
finalTick                                1650706691301                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    855.45                       # Real time elapsed on the host (Second)
hostTickRate                               1929624879                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8678704                       # Number of bytes of host memory used (Byte)
simInsts                                    125239581                       # Number of instructions simulated (Count)
simOps                                      218634059                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   146401                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     255576                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        123806098                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.988554                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.011578                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       332374673                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1050884                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      297872738                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 348789                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            114791455                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         172582419                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              284318                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           123446637                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.412968                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.635893                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  48831367     39.56%     39.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13501649     10.94%     50.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11517851      9.33%     59.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10076748      8.16%     67.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8959251      7.26%     75.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7449224      6.03%     81.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10237082      8.29%     89.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6388193      5.17%     94.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6485272      5.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             123446637                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4762026     65.03%     65.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    792      0.01%     65.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     65.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 20349      0.28%     65.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     65.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     65.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     65.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     65.32% # attempts to use FU when none available (Count)
