
---------- Begin Simulation Statistics ----------
simSeconds                                   1.574358                       # Number of seconds simulated (Second)
simTicks                                 1574357520078                       # Number of ticks simulated (Tick)
finalTick                                1574357520078                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    907.84                       # Real time elapsed on the host (Second)
hostTickRate                               1734181639                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8693964                       # Number of bytes of host memory used (Byte)
simInsts                                    163759178                       # Number of instructions simulated (Count)
simOps                                      295863831                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   180384                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     325899                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        118079767                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.721057                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.386852                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       377251114                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    48791                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      357551879                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 419751                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             81436063                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         102431577                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4946                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           117819751                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.034736                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.686072                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  33555635     28.48%     28.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11654861      9.89%     38.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12845908     10.90%     49.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10178030      8.64%     57.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10811112      9.18%     67.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9400240      7.98%     75.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  13039222     11.07%     86.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9487812      8.05%     94.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6846931      5.81%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             117819751                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6878833     83.21%     83.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     83.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     83.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 92801      1.12%     84.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     84.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     84.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     84.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      7      0.00%     84.33% # attempts to use FU when none available (Count)
