
---------- Begin Simulation Statistics ----------
simSeconds                                   1.051513                       # Number of seconds simulated (Second)
simTicks                                 1051512644860                       # Number of ticks simulated (Tick)
finalTick                                1051512644860                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    463.51                       # Real time elapsed on the host (Second)
hostTickRate                               2268581778                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8640204                       # Number of bytes of host memory used (Byte)
simInsts                                     47367356                       # Number of instructions simulated (Count)
simOps                                      133049129                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   102192                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     287046                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         78865421                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.664974                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.600610                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       234274815                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5715                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      180725797                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 571302                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            101231381                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         279974822                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 800                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            78855261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.291867                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.087019                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  18106522     22.96%     22.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17778671     22.55%     45.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12925825     16.39%     61.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9845127     12.49%     74.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6890431      8.74%     83.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3505274      4.45%     87.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6804727      8.63%     96.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2345833      2.97%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    652851      0.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              78855261                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3967244     97.79%     97.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     97.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.79% # attempts to use FU when none available (Count)
